Data Source	World Development Indicators																																																													
																																																														
Last Updated Date	24-01-19																																																													
																																																														
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Saudi Arabia	SAU	"Population, female"	SP.POP.TOTL.FE.IN	2034341	2099448	2169221	2243038	2319919	2399391	2481349	2566778	2657588	2756285	2864805	2984580	3115666	3256988	3406761	3564063	3726889	3896611	4079516	4284137	4515652	4776938	5063466	5363907	5662562	5947940	6215783	6468575	6709890	6946089	7181854	7417723	7651907	7884179	8113941	8340912	8565905	8789823	9012666	9234307	9455087	9674940	9895338	10120074	10354006	10600689	10859788	11130264	11413740	11711992	12025041	12355754	12700554	13045253	13370865	13664443	13919153	14140297	
Saudi Arabia	SAU	"Population, total"	SP.POP.TOTL	4086539	4218879	4362864	4516659	4677404	4843635	5015204	5194846	5387486	5599628	5836389	6100994	6393894	6714095	7059334	7428703	7818613	8231604	8679840	9179621	9740599	10366661	11048080	11763837	12484967	13189115	13869012	14525660	15155223	15755944	16326815	16867829	17378833	17859750	18311090	18735841	19131578	19505576	19882458	20294406	20764312	21303592	21906308	22556425	23228890	23905654	24578301	25252569	25940770	26661492	27425676	28238020	29086357	29944476	30776722	31557144	32275687	32938213	
Saudi Arabia	SAU	Technicians in R&D (per million people)	SP.POP.TECH.RD.P6																																																											
Saudi Arabia	SAU	Researchers in R&D (per million people)	SP.POP.SCIE.RD.P6																																																											
Saudi Arabia	SAU	Population growth (annual %)	SP.POP.GROW	2.998701903	3.18710514	3.355926949	3.46438388	3.497069393	3.492221673	3.480862665	3.519288167	3.64118766	3.862131014	4.141211672	4.433942504	4.689176373	4.886557554	5.014166478	5.100056813	5.115589219	5.147371932	5.30222029	5.598282305	5.931669636	6.229236916	6.366167332	6.277350755	5.949511579	5.486658764	5.026513072	4.625974169	4.242848441	3.887246588	3.559115725	3.259935014	2.984477314	2.729660615	2.495730964	2.293143326	2.090194781	1.936010512	1.913746202	2.050744613	2.289046229	2.563995314	2.789893488	2.924531588	2.937681484	2.87182374	2.774898052	2.706391261	2.688796921	2.740441484	2.825937772	2.918964195	2.959993577	2.907563419	2.74137582	2.504137257	2.251422474	2.03192508	
Saudi Arabia	SAU	"Age dependency ratio, young (% of working-age population)"	SP.POP.DPND.YG	81.04771926	81.65762053	82.00702285	82.22352708	82.42246896	82.64327506	83.17815652	83.55418576	83.85135209	84.14886466	84.50429863	84.51949184	84.47645443	84.40536909	84.28561634	84.12081314	83.59610822	82.91638177	82.25107465	81.7707128	81.52851506	80.3072212	79.28324277	78.38995553	77.4501407	76.37948468	76.62508628	76.4897174	76.31311408	76.2166703	76.05355871	76.58434576	76.99821979	77.03650252	76.49246924	75.36310139	72.66487373	70.0515184	67.85680882	66.21341715	64.96193752	62.3220058	59.91598723	57.69195105	55.58145925	53.56899467	51.51694918	49.47388275	47.5421958	45.81524915	44.30433973	42.26360276	40.48902128	38.97320263	37.70204537	36.64439002	35.81340464	35.17582453	
Saudi Arabia	SAU	"Age dependency ratio, old (% of working-age population)"	SP.POP.DPND.OL	6.803633888	6.824786751	6.824191058	6.808165848	6.782264266	6.750536963	6.737666671	6.710214516	6.672067939	6.625947166	6.57330592	6.497592951	6.417906749	6.340138691	6.26637795	6.196883317	6.07371314	5.952050991	5.838109868	5.735601504	5.646535697	5.442112025	5.248906144	5.070047634	4.903567716	4.745913728	4.754685673	4.792997027	4.866861277	4.971834379	5.098602948	5.164719033	5.215165156	5.248997722	5.263512619	5.258171264	5.211228347	5.163993463	5.128941541	5.110341808	5.102655585	5.005613955	4.912552789	4.82673418	4.752119552	4.693204822	4.624959707	4.569876108	4.524017278	4.479322434	4.433738941	4.355783803	4.285617155	4.240973822	4.24343189	4.303567204	4.436105117	4.606409758	
Saudi Arabia	SAU	Age dependency ratio (% of working-age population)	SP.POP.DPND	87.85135315	88.48240728	88.83121391	89.03169293	89.20473323	89.39381202	89.91582319	90.26440027	90.52342003	90.77481183	91.07760455	91.01708479	90.89436118	90.74550779	90.55199429	90.31769646	89.66982136	88.86843277	88.08918452	87.5063143	87.17505075	85.74933323	84.53214892	83.46000317	82.35370841	81.12539841	81.37977196	81.28271443	81.17997536	81.18850468	81.15216166	81.74906479	82.21338494	82.28550024	81.75598186	80.62127265	77.87610208	75.21551186	72.98575036	71.32375896	70.06459311	67.32761976	64.82854002	62.51868523	60.3335788	58.26219949	56.14190888	54.04375886	52.06621308	50.29457159	48.73807867	46.61938656	44.77463844	43.21417645	41.94547726	40.94795722	40.24950976	39.78223428	
Saudi Arabia	SAU	Sex ratio at birth (male births per female births)	SP.POP.BRTH.MF			1.03					1.03					1.03					1.03					1.03					1.03			1.03		1.03					1.03					1.03					1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	
Saudi Arabia	SAU	"Population ages 80 and above, male (% of male population)"	SP.POP.80UP.MA.5Y	0.255969827	0.275121141	0.286965171	0.290021824	0.284200569	0.269531413	0.286559526	0.295996344	0.296567966	0.288392619	0.272009902	0.284814716	0.290919274	0.289693171	0.281911016	0.26884781	0.278586864	0.283091641	0.281719226	0.274742952	0.262854492	0.268063565	0.268054002	0.262971708	0.253693417	0.240817304	0.248391985	0.252299653	0.252009039	0.247018822	0.237059591	0.247171831	0.25297828	0.255594315	0.25610107	0.254720281	0.273148585	0.288612422	0.300907211	0.309997141	0.315724608	0.334793778	0.349239042	0.358304573	0.361579901	0.358873521	0.374880171	0.385092834	0.389350033	0.387464516	0.379510128	0.389062919	0.393676016	0.393349446	0.38780052	0.377031004	0.388847895	0.395841773	
